month,month_name,total_flights,on_time_flights,delayed_flights,cancelled_flights,diverted_flights,total_delay_minutes,on_time_rate,delay_rate
1,January,4363555,3317911,908789,128455,8400,50936145,76.04,20.83
2,Febuary,3761574,2827502,801497,125630,6945,44339532,75.17,21.31
3,March,4275438,3314842,874674,77751,8171,48767941,77.53,20.46
4,April,4128093,3297188,767134,55172,8599,42258899,79.87,18.58
5,May,4238046,3355543,817071,53908,11524,46323059,79.18,19.28
6,June,4588297,3407036,1085637,78791,16833,66206433,74.25,23.66
7,July,4754762,3574278,1084630,79194,16660,66618470,75.17,22.81
8,August,4726347,3674793,963240,74052,14262,56014722,77.75,20.38
9,September,4336206,3599949,668669,59599,7989,35800799,83.02,15.42
10,October,4524038,3676604,783858,56295,7281,40866813,81.27,17.33
11,November,4307242,3524875,730990,44491,6886,38590608,81.84,16.97
12,December,4442170,3222966,1101829,108026,9349,62753714,72.55,24.8
