year,total_flights,on_time_flights,delayed_flights,cancelled_flights,diverted_flights,total_delay_minutes,on_time_rate,delay_rate
2003,2373106,1922147,411570,34598,4791,21185559,81.0,17.34
2004,4344735,3377387,880677,77940,8731,46609028,77.74,20.27
2005,4373522,3355778,925578,83188,8978,50060286,76.73,21.16
2006,4437952,3323807,1024612,78475,11058,56997528,74.9,23.09
2007,4538488,3294874,1129439,102665,11510,64942741,72.6,24.89
2008,4307649,3243618,965136,87650,11245,56598187,75.3,22.41
2009,4038900,3183307,787472,58341,9780,44005337,78.82,19.5
2010,4050772,3233526,732445,75018,9783,40660911,79.82,18.08
2011,3923295,3120904,715560,77467,9364,40751156,79.55,18.24
2012,3955389,3235628,658326,53494,7941,38057964,81.8,16.64
2013,4108397,3231826,805063,62054,9454,47098086,78.66,19.6
2014,3824651,2936870,796314,81908,9559,46493190,76.79,20.82
2015,3870278,3092452,707800,59770,10256,43121664,79.9,18.29
2016,298634,241363,48026,8796,449,2895498,80.82,16.08
